ID,Status,Zonal Office,Company,Incident Number,Incident Date,Report Date,Contaminat,Estimated Quantity,Quantity Recovered,Spill Stop Date,Type of Facility,Cause,Initial Containment Measures,Site Location Measures,Latitude,Longitude,LGA,Estimated Spill Area,Spill Area Habitat,Description of Impact,States Affected,,Form A Date,Form B Date,Form C Date,JIV Date,Present at JIV,Cleanup Date,Cleanup Completed Date,Cleanup Methods,Post-Cleanup Inspection Date,Post-Impact Assessment Date,Remediation Start,Remediation End,Remediation Type,Final Sampling Date,Final Lab Results,Certificate Date,Certificate Number,Last Updated By
283652,confirmed,ph,NAOC,2023/LAR/253,9/13/2023,9/12/2023,cr,1.4,,9/15/2023,pl,sab,,"18” Ebocha-Ogoda Pipeline at Owube, Awelga, River State",5.3127778,6.6438889,Ogba/Egbema/Ndoni,0.00018937,la,"There was a fire outbreak along 18” Ebocha – Ogoda P/L at Owube, Awelga that was reported to the Agency on the 12th of September 2023. The JIV team mobilized to site the following day been 13th September 2023 but could not carry out the assessment because the fire was still on. The fire fighting team of NAOC was able to quench the fire on 15th September 2023 and JIV was conducted on the same day. About 160mm Hacksaw cut was inflicted on the pipeline at 1-3 O’clock position by unknown persons for oil theft activity.",RI,,,,,9/15/2023,"nosdra,mnstry,cmpny,cmmnt,mltry",,,,,,,,,,,,,2023-10-03 AB017
283646,confirmed,wa,SPDC,1454353,9/13/2023,9/13/2023,cr,7.5,,,fl,sab,bm,6'' SOUTH BANK CLUSTER 3 BULKLINE 3 AT YOUBEBE,5.3633333,5.3255556,Burutu,,ss,"Vegetation, surface water and soil were impacted, the spill was within and outside the company's right of way.",DE,,,,,9/21/2023,"nosdra,dpr,mnstry,cmpny,cmmnt",,,,,,,,,,,,,2023-09-30 WA003
283632,confirmed,wa,NEPL,NEPL/OML26/AMT/HSE/0923/047,9/13/2023,9/13/2023,cr,8,,,other:saver pit,ome,other:none,BEHIND OGINI COMPRESSOR STATION @ OKPAILE COMMUNITY,5.5686617,6.3034933,Isoko-North,,ss,"Farmland, fishpond, vegetation, soil, surface water was impacted, dead floating fishes was sighted, the spill was within and outside the company's right of way.",DE,,,,,9/26/2023,"nosdra,dpr,mnstry,cmpny,cmmnt",,,,,,,,,,,,,2023-09-30 WA003
283396,confirmed,wa,CHEVRON,NOSDRA/044/2023,9/13/2023,9/14/2023,cr,0.9,,,pl,sab,bm,18'' OLERO - ABITEYE PIPELINE AT OLERO FIELD.,5.8606111,5.1616389,Warri-North,,ss,Surface water and Vegetation were impacted. The spill was within and outside the comany's right of way.,DE,,,,,9/19/2023,"nosdra,cmmnt,cmpny,dpr,mnstry",,,,,,,,,,,,,2023-09-21 WA003
283453,confirmed,ph,NAOC,2023/NLI/LAR/111,9/11/2023,9/11/2023,,,,,fl,sab,,"4'' OBIAFU 23L FLOWLINE AT OMOKU COMMUNITY, RIVERS STATE",5.2001111,6.5885,Ogba/Egbema/Ndoni,NIL,,70MM HACKSAW CUT WAS SEEN ON THE FACILITY AT 2-4 O'CLOCK POSITION BY UNKNOWN PERSON(S) FOR OIL THEFT ACTIVITIES,RI,,,,,9/11/2023,"cmmnt,cmpny,mnstry,nosdra",,,,,,,,,,,,,2023-10-03 AB017
283452,confirmed,wa,SEPLAT,SEPLAT/OML98/OS/10/2023,9/11/2023,9/11/2023,no,,,,pl,sab,,20'' AMUKPE - ESCRAVOS PIPELINE AT KM 24.9 IN UBAGBORO COMMUNITY.,5.82,5.4655833,Warri-South-West,,sw,4'' ball valve illegally attached to the 20'' AEP at 12 O' clock position.,DE,,,,,9/22/2023,"nosdra,cmmnt,cmpny,dpr,mnstry",,,,,,,,,,,,,2023-09-25 WA003
283403,confirmed,wa,NEPL,NNPC/OML26/AMT/HSE/0923/046,9/11/2023,9/12/2023,cr,0.09,0.06,,pl,sab,tr,10'' 29KM EXPORT LINE AT ERAWHA,5.5605,6.1750694,Isoko-North,,la,"Soil was impactd, the spill was within the company's right of way.",DE,,,,,9/19/2023,"nosdra,dpr,mnstry,cmpny,cmmnt",,,,,,,,,,,,,2023-09-21 WA003
283397,confirmed,wa,SPDC,1442915,9/10/2023,9/11/2023,no,,,,pl,sab,other:Cofferdam,20'' TRANS - ESCRAVOS PIPELINE AT UGBOEGUNGUN COMMUNITY.,5.6357967,5.1559358,Warri-South-West,,sw,4'' Valve installed on the company's 20'' at 12 O'clock position. The was no spill .,DE,,,,,9/14/2023,"nosdra,cmmnt,cmpny,dpr,mnstry",,,,,,,,,,,,,2023-09-21 WA003
283394,confirmed,ph,Antan,HSE/IFS/0723/002,9/10/2023,9/11/2023,cr,3,1,9/10/2023,fl,eqf,tr,"Esi-Orsi community oguta2, Oguta LGA IMO state",5.63336,6.779311,Oguta,0.002,la,Stained vegetation within right of way,IM,,,,,9/14/2023,"nosdra,dpr,mnstry,cmpny,cmmnt,mltry",,,,,,,,,,,,,2023-09-20 PH154
283361,confirmed,wa,NEPL,NEPL/HSE/GBET/40/002/23,9/8/2023,9/8/2023,cr,2.5,2.0125,,wh,eqf,bm,NEPL GBET - 8 WELL HEAD AT GBETOKUN,5.9225933,5.3202433,Warri-North,,"iw,sw","Surface water was impacted, the spill was within the compant's right of way.",DE,,,,,9/12/2023,"nosdra,dpr,mnstry,cmpny,cmmnt",,,,,,,,,,,,,"2023-09-13 WA003, 2023-09-14 WA003"
283345,confirmed,wa,Midwestern,UPIL/006/2023,9/8/2023,9/8/2023,cr,50,47,,pl,sab,bw,(EBENDO - OBODOGWA) MWOG/UPIL PIPELINE,5.6775,6.3544444,Ndokwa-West,,la,"Soil was impacted, the spill was within the company's right of way.",DE,,,,,9/9/2023,"nosdra,dpr,mnstry,cmpny,cmmnt",,,,,,,,,,,,,"2023-09-11 WA003, 2023-09-13 WA003"
283343,confirmed,wa,NEPL,NEPL/HSE/OLO/003/23,9/5/2023,9/5/2023,cr,7,6,,pl,sab,tr,10'' OREDO - OGHARAEKI EXPORT PIPELINE @ OLOGBO COMMUNITY,5.6075,6.0688889,Ikpoba-Okha,,la,"Soil was impacted, the spill was within the company's right of way.",DE,,,,,9/6/2023,"nosdra,dpr,mnstry,cmpny,cmmnt",,,,,,,,,,,,,2023-09-11 WA003
283351,confirmed,ph,HHOG,2023_0304,9/4/2023,9/4/2023,no,,,9/5/2023,pl,sab,none,"8’’ Umuechem-Nkpoku Manifold Delivery Line At Umuwehi, Etche LGA",4.9984722,7.0216944,Etche,,la,"• Upon excavation of the point (non-leaking), 1ʺ ball valve with 1.5’’ galvanised pipe connections were installed on both point 1 and 2 of the pipeline illegally at 12 O’clock position by unknown person(s). This is attributed to oil theft activity. • There was no impact on the environment as a result of no spill.",RI,,,,,9/5/2023,"nosdra,mnstry,dpr,cmpny,cmmnt",,,,,,,,,,,,,2023-10-03 AB017
283350,confirmed,ph,HHOG,2023_0584,9/4/2023,9/4/2023,no,,,9/6/2023,pl,sab,none,"8’’ Umuechem-Nkpoku Manifold Delivery Line At Omunwei, Etche LGA Rivers State",4.9918611,7.0226667,Etche,,la,"• Upon excavation of the point (non-leaking), a 1ʺ ball valve with 2’’ galvanised pipe connection was installed on the pipeline illegally at 12 O’clock position by unknown person(s). This is attributed to oil theft activity. • There was no impact on the environment as a result of no spill.",RI,,,,,9/6/2023,"nosdra,mnstry,dpr,cmpny,cmmnt",,,,,,,,,,,,,2023-10-03 AB017
283369,confirmed,wa,SEPLAT,SEPLAT/WA/OS/14/2023,9/1/2023,9/2/2023,cr,3,2.4,,pl,eqf,,24'' AMUKPE - RAPELE TRUNKLINE AT EJEKIMONI,5.7815933,5.7072483,Sapele,,sw,"Vegetation and surface water were impacted, the spill was within and outside the company's right of way.",DE,,,,,9/6/2023,"nosdra,dpr,mnstry,cmpny,cmmnt",,,,,,,,,,,,,2023-09-14 WA003
283342,confirmed,wa,NEPL,NEPL/HSE/ABU/65/008/23,9/1/2023,9/1/2023,no,,,,pl,sab,,NEPL 4'' ABURA FLOWLINE @ UKPIOVWINE / OGHIOR,5.4358333,5.8588889,Udu,,ss,An illegal 2'' ball valve was attached on the company's pipeline.,DE,,,,,9/5/2023,"nosdra,dpr,mnstry,cmpny,cmmnt",,,,,,,,,,,,,2023-09-11 WA003
283341,confirmed,wa,NEPL,NEPL/HSE/ABU/65/007/23,9/1/2023,9/1/2023,no,,,,pl,sab,,NEPL 4'' ABURA PIPELINE @ UKPIOVWINE,5.436332,5.842502,Udu,,ss,An illegal 2'' ball valve was attached on the company's pipeline.,DE,,,,,9/5/2023,"nosdra,dpr,mnstry,cmpny,cmmnt",,,,,,,,,,,,,2023-09-11 WA003
283339,confirmed,wa,NEPL,NEPL/HSE/ABU/65/006/23,9/1/2023,9/1/2023,no,,,,pl,sab,,NEPL 4'' ABURA FLOWLINE @ UKPIOVWINE/GHIOR,5.4408333,5.7905556,Ughelli-South,,ss,An illegal 2'' ball valve was installed on the company's pipeline.,DE,,,,,9/4/2023,"nosdra,dpr,mnstry,cmpny,cmmnt",,,,,,,,,,,,,2023-09-11 WA003
283338,confirmed,wa,NEPL,NEPL/HSE/ABU/005/23,9/1/2023,9/1/2023,no,,,,fl,sab,,NEPL 4'' ABURA FLOWLINE @ EMADADJA,5.4361111,5.8533333,Udu,,ss,An illegal 2'' ball valve was attached on the company's flowline.,DE,,,,,9/4/2023,"nosdra,dpr,mnstry,cmpny,cmmnt",,,,,,,,,,,,,"2023-09-11 WA003, 2023-09-18 WA003"
282970,confirmed,wa,Neconde,JPMT/20230830/42/1,8/30/2023,8/30/2023,cr,1,,,pl,sab,bm,16'' TRUNKLINE AT JONES CREEK.,5.5649686,5.5943881,Warri-South,,sw,Surface water was impacted. The spill was within and outside the company's right of way.,DE,,,,,9/3/2023,"nosdra,cmmnt,cmpny,dpr,mnstry",,,,,,,,,,,,,2023-09-13 WA003
283348,confirmed,wa,SEPLAT,SEPLAT/OML98/OS/05/2023,8/29/2023,8/29/2023,cr,0.25,,,pl,sab,bw,20'' AMUKPE - ESCRAVOS PIPELINE AT KM 48.9 OML 98 BENIKRUKRU,5.7309167,5.2767778,Warri-South-West,,sw,"Surface water and soil were impacted, the spill was within the company's right of way.",DE,,,,,9/2/2023,"nosdra,dpr,mnstry,cmpny,cmmnt",,,,,,,,,,,,,2023-09-11 WA003
282854,confirmed,ph,SPDC,1401914,8/29/2023,8/29/2023,no,,,,pl,sab,,"20"" KOLOCREEK-RUMUEKPE TL AT OKOMA, AHOADA EAST LGA, RIVERS STATE.",4.97152,6.64644,Ahoada-East,,la,"3"" valve installed on 12 O' CLOCK position",RI,,,,,8/31/2023,"nosdra,mnstry,cmpny,cmmnt",,,,,,,,,,,,,2023-09-26 AB017
282847,confirmed,wa,Midwestern,UPIL/006/2023,8/28/2023,8/28/2023,cr,1,0.8,,pl,sab,tr,MWOG/UPIL PIPELINE AT EBENDO.,5.6680556,6.3413889,Ndokwa-West,,la,Vegetation and Soil were impacted. The spill was within the company's right of way.,DE,,,,,8/29/2023,"nosdra,cmmnt,cmpny,dpr",,,,,,,,,,,,,2023-09-04 AB014
282976,confirmed,wa,CHEVRON,CNL/2023/043,8/26/2023,8/27/2023,cr,0.1,,,pl,sab,other:none,18'' ABITEYE - ESCRAVOS TRUNKLINE @ SAGHARA CREEK,5.6277222,5.2095833,Warri-South-West,,sw,"Surface water and soil were impacted, the spill was within the company's right of way.",DE,,,,,9/5/2023,"nosdra,dpr,mnstry,cmpny,cmmnt",,,,,,,,,,,,,2023-09-06 WA003
282851,confirmed,ak,CHEVRON,NOSDRA/042/2023,8/25/2023,8/26/2023,cr,1,,8/25/2023,pl,sab,bm,"12""OPUEKEBA - OLERO PIPELINE",5.9140278,5.0295,Warri-North,,sw,"At about 14400hrs on August 25, 2023, Operators at Opuekeba Production Platform in our Onshore Area Operation noticed pressure drop on the 12” Opuekeba-Olero oil trunk/delivery pipeline. Properties impacted by the spill incident as observed; oil stained vegetation/ withering vegetation.",DE,,8/26/2023,,,8/29/2023,"cmmnt,cmpny,dpr,mnstry,nosdra",,,,,,,,,,,,,2023-08-31 AK004
282832,confirmed,ph,NAOC,2023/LAR/246,8/25/2023,8/25/2023,cr,2.5,,8/25/2023,pl,sab,,18'' EBOCHA - OGODA PIPELINE AT OBIE ONELGA RIVERS STATE,5.4110278,6.6904722,Ogba/Egbema/Ndoni,,,THERE WAS A 3'' BALL VALVE CONNECTED AT 12 O'CLOCK POSITION BY UNKNOWN PERSONS. THE SPILL AFFECTED THE ROW .,RI,,,,,8/25/2023,"cmmnt,cmpny,mltry,mnstry,nosdra",,,,,,,,,,,,,"2023-09-04 AB014, 2023-09-25 AB008"
283374,confirmed,wa,Heritage,HEOSL/2023/236,8/24/2023,8/25/2023,cr,10,,,pl,cor,other:none,28'' TRANS FORCADOS PIPELINE AT ODIDI-KANTU COMMUNITY,5.5088333,5.4765,Warri-South-West,,sw,"Surface water was impacted, the spill was within and outside the company's right of way.",DE,,,,,9/14/2023,"nosdra,dpr,mnstry,cmpny,cmmnt",,,,,,,,,,,,,2023-09-15 WA003
282843,confirmed,ph,SPDC,2023_1389579,8/23/2023,8/24/2023,no,,,,pl,sab,,28'' BOMU-BONNY TNP AT OWOKIRI COMMUNITY,4.55795,7.25043,Bonny,,sw,6'' BALL VALVE INSTALLED ON THE LINE AT 12 0'CLOCK POSITION BY UNKNOWN PERSON(s),RI,,,,,8/29/2023,"nosdra,mnstry,cmpny,cmmnt,plc",,,,,,,,,,,,,2023-09-26 AB017
282785,confirmed,ph,NAOC,2023/LAR/244,8/21/2023,8/21/2023,cr,0.6,,8/21/2023,pl,sab,,"14"" Akri-Ebocha P/L @ Mgbede",5.4762222,6.7015,Ogba/Egbema/Ndoni,,la,Attempted re-entry of a repaired cone. A 140mm hacksaw cut at the cone head was seen,RI,,,,,8/21/2023,"cmmnt,cmpny,mnstry,nosdra",,,,,,,,,,,,,2023-09-04 AB014
282793,confirmed,wa,CHEVRON,NOSDRA/041/2023,8/20/2023,8/21/2023,no,,,,pl,sab,,16'' OLERO RMP 17 TO OLERO NFS PIPELINE AT OLERO FIELD COMMUNITIES.,5.8725222,5.1171944,Warri-North,,sw,3'' Valve mounted on the 16'' pipeline at 12 O'clock position.,DE,,,,,8/22/2023,"nosdra,cmmnt,cmpny,mnstry",,,,,,,,,,,,,2023-09-04 AB014
282786,confirmed,wa,NDWEST,NEPL/NDW/HSE/08/2023-4,8/20/2023,8/21/2023,cr,15,,,fs,ome,bm,UTOROGU FLARE STACK AREA AT OTU JEREMI,5.43384,5.8836883,Ughelli-South,,sw,"Vegetation, surface water and soil were impacted, the spill was within the company's right of way.",DE,,,,,8/22/2023,"nosdra,dpr,mnstry,cmpny,cmmnt",,,,,,,,,,,,,2023-08-23 WA003
282758,confirmed,ph,SPDC,2023_1375668,8/17/2023,8/18/2023,no,,,,pl,sab,,24'' OGALE-BONNY TNP AT NONWA-KEBARA COMMUNITY,4.75753,7.22786,Tai,,la,2'' BALL VALVE CONNECTED WITH 2'' GALVANIZED PIPE INSTALLED ON THE PIPELINE AT 12 0'CLOCK POSITION BY UNKNOWN PERSON(s).,RI,,,,,8/21/2023,"nosdra,mnstry,cmpny,cmmnt",,,,,,,,,,,,,2023-09-04 AB014
282745,confirmed,ph,SPDC,2023_1375649,8/17/2023,8/18/2023,no,,,,pl,sab,,24'' OGALE-BONNY TNP NONWA-UEDEME COMMUNITY,4.76666,7.21809,Tai,,la,2'' BALL VALVE CONNECTED WITH 2'' GALVANIZED PIPE INSTALLED ON THE AT 12 0'CLOCK POSITION BY UNKNOWN PERSON(s),RI,,,,,8/20/2023,"nosdra,mnstry,cmpny,cmmnt,plc",,,,,,,,,,,,,2023-09-04 AB014
283381,confirmed,by,NAOC,2023/SAR/200,8/16/2023,8/16/2023,cr,6,3,8/16/2023,fl,sab,bm,6'' Azuzuama/Ogboinbiri flowline,4.77525,5.9808056,Southern-Ijaw,0.00535711,sw,The spill was as a result of sabotage since there was a visible installation of 2'' valve on the pipeline at 12 O'Clock position. The area of impact are outside company right of way. Vegatation were Impacted.,BY,,,,,8/16/2023,"nosdra,mnstry,cmpny,mltry",,,,,,,,,,,,,2023-10-03 AB017
282756,confirmed,ph,NAOC,2023/LAR/243,8/16/2023,8/16/2023,co,0.82,,8/16/2023,pl,sab,,"10"" Obiafu 40T, 41T, 43T P/L @ Omoku",5.4123889,6.6028333,Ogba/Egbema/Ndoni,0.00020372,la,145mm hacksaw cut seen on the pipeline between 1-3 o'clock done by unknown persons,RI,,,,,8/16/2023,"cmmnt,cmpny,mnstry,nosdra",,,,,,,,,,,,,2023-09-04 AB014
282857,confirmed,ph,NAOC,2023/NLI/LAR/098,8/15/2023,8/15/2023,no,,,,pl,sab,,"18'' EBOCHA-OGODA PIPELINE AT OBIE COMMUNITY, ONELGA, RIVERS STATE.",5.4110278,6.6904722,Ogba/Egbema/Ndoni,,,JIT OBSERVED 3'' BALL VALVE WITH 3'' PIPE CONNECTION INSTALLED ON THE FACILITY AT 12 0'CLOCK POSITION BY UNKNOWN PERSON(S).,RI,,,,,8/15/2023,"nosdra,mnstry,cmmnt,cmpny,mltry",,,,,,,,,,,,,2023-10-03 AB017
282746,confirmed,wa,CHEVRON,NOSDRA/040/2023,8/13/2023,8/14/2023,cr,5,,,pl,sab,,18'' DIBI-ABITEYE PIPELINE AT DIBI FIELD COMMUNITIES.,5.7708889,5.2029167,Warri-North,,sw,Vegetation and Surface water were impacted. The Spill was within and outside the company's right of way.,DE,,,,,8/17/2023,"nosdra,cmmnt,cmpny,mnstry,dpr",,,,,,,,,,,,,2023-08-21 AB017
282856,confirmed,ph,NAOC,2023/LAR/241,8/12/2023,8/12/2023,cr,7,,,pl,sab,,"24'' OGODA-BRASS PIPELINE AT OKOGBE COMMUNITY, AWELGA, RIVERS STATE.",5.0495278,6.5473333,Ahoada-West,"1,145.74",la,270mm long hacksaw cut was observed on the pipeline.,RI,,,,,8/12/2023,"nosdra,mnstry,cmmnt,cmpny,mltry",,,,,,,,,,,,,2023-10-03 AB017
282842,confirmed,wa,SEPLAT,SEPLAT/OML 98/OS/04/2023,8/12/2023,8/12/2023,cr,1.5,,,pl,sab,"bm,other:coffer dam",20'' AMUKPE - ESCRAVOS PIPELINE AT KM 31.83 BENIKRUKRU,5.7586389,5.3948889,Warri-South-West,,sw,"Soil and vegetation was impacted, the spill was within the company's right of way.",DE,,,,,8/16/2023,"nosdra,dpr,mnstry,cmpny,cmmnt",,,,,,,,,,,,,2023-08-29 WA003
282757,confirmed,ph,NAOC,2023/LAR/239,8/11/2023,8/11/2023,cr,0.6,,8/11/2023,pl,sab,pt,"14"" Akri-Ebocha P/L @ Abacheke",5.5058889,6.7099167,Ohaji/Egbema,0.00005065,la,100mm horizontal hacksaw cut see on an existing coned point.,IM,,,,,8/19/2023,"cmmnt,cmpny,mnstry,nosdra",,,,,,,,,,,,,2023-09-04 AB014
282686,confirmed,ph,SPDC,1362930,8/11/2023,8/11/2023,no,,,,pl,sab,,"28"" Nkpoku-Bomu Pipeline at Aleto",4.80904,7.10387,Eleme,,la,three illegally connected valves on SPDC pipeline,RI,,,,,8/12/2023,"nosdra,dpr,mnstry,cmpny,cmmnt",,,,,,,,,,,,,"2023-08-16 PH002, 2023-08-21 AB017"
282685,confirmed,ph,SPDC,1362916,8/11/2023,8/11/2023,cr,,,8/12/2023,pl,sab,bw,"20"" kolo creek -Rumuekpe pipeline Old line @ Okporowo,Ahoada East L.G A, Rivers state",4.97121286,6.64295687,Ahoada-East,,la,"3"" ball valve to 2"" galvanized line out installed @ 12 0' clock position by an unknown person(s) for oil theft activity.",RI,,,,,8/12/2023,"nosdra,cmmnt,cmpny,mnstry,dpr",,,,,,,,,,,,,2023-09-26 AB017
282959,confirmed,ph,SPDC,2023_1360036,8/10/2023,8/10/2023,no,,,,pl,sab,,24'' BOMU-BONNY TNP AT OWOKIRI COMMUNITY,4.5575577,7.2511341,Bonny,,sw,6'' BALLVALVE INSTALLED ON THE P/LINE AT 12 0' CLOCK POSITION BY UNKNOWN PERSON(s),RI,,,,,8/15/2023,"nosdra,mnstry,cmpny,cmmnt,plc",,,,,,,,,,,,,2023-09-26 AB017
282792,confirmed,wa,CHEVRON,NOSDRA/039B/2023,8/10/2023,8/11/2023,cr,0.6,,,fl,cor,bm,4'' FLOWLINE FROM GBOKODA JACKET 34 TO OLERO RMP 8.,5.8671667,5.1145278,Warri-North,,sw,Vegetation and Surface water were impacted. The spill was within the company's right of way.,DE,,,,,8/14/2023,"nosdra,cmmnt,cmpny,mnstry",,,,,,,,,,,,,2023-09-04 AB014
282791,confirmed,wa,CHEVRON,NOSDRA/039A/2023,8/10/2023,8/11/2023,cr,0.3,,,fl,cor,bm,4'' FLOWLINE FROM GBOKODA JACKET 18 TO OLERO RMP 8.,5.8683056,5.1136111,Warri-North,,sw,Vegetation and Surface water were impacted. The spill was within the company's right of way.,DE,,,,,8/14/2023,"nosdra,cmmnt,cmpny,mnstry",,,,,,,,,,,,,2023-09-04 AB014
282958,confirmed,ph,SPDC,2023_1359856,8/9/2023,8/10/2023,no,,,,pl,sab,,24'' BOMU-BONNY TNP AT OWOKIRI COMMUNITY,4.5586244,7.2514022,Bonny,,sw,A PREVIOUS REPAIRED THEFT POINT SPLIT TEES METHOD WAS TEMPERED BY UNKNOWN PERSON(s) AT 12 0' CLOCK POSITION ON THE P/LINE,RI,,,,,8/16/2023,"nosdra,mnstry,cmpny,cmmnt,plc",,,,,,,,,,,,,2023-09-26 AB017
